"","postcode_2016","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"81","3181",144.997545786956,-37.8528085986653,"Melbourne",144.9750162,-37.82003131,4143.52094590821,151.49785611432,81,145.314389268733,-38.2017690458056,9585
"82","2052",151.229913966897,-33.917511177749,"Sydney",151.1851798,-33.92001097,4145.98371483581,86.1350150983657,82,151.414389268733,-34.2180521883972,14653
"83","2019",151.207917324055,-33.9525489921364,"Sydney",151.1851798,-33.92001097,4176.75167468395,149.890016709023,83,151.314389268733,-34.391257269154,14433
"84","6050",115.869682028598,-31.9260637827563,"Perth",115.8399987,-31.95501463,4264.17640080145,41.0176301894469,84,116.214389268733,-31.7931810578007,17543
"85","4102",153.033988732505,-27.4936569700484,"Brisbane",153.0350927,-27.45503091,4281.5990752035,-178.547180390655,85,153.114389268733,-27.8094642003923,22764
"86","3052",144.949820072427,-37.785420124138,"Melbourne",144.9750162,-37.82003131,4436.40737954688,-29.8994904274372,86,144.814389268733,-37.3357436420211,10678
"87","3142",145.017510060541,-37.8415520080764,"Melbourne",144.9750162,-37.82003131,4438.48321278617,122.655289334941,87,145.414389268733,-37.6821538035349,10243
"88","5037",138.557327985171,-34.9549654396675,"Adelaide",138.6000048,-34.93498777,4484.46754138187,-119.717578290909,88,138.214389268733,-35.2572826729385,13273
"89","5007",138.569832397962,-34.9029983640026,"Adelaide",138.6000048,-34.93498777,4494.02210988361,-37.7093078538127,89,138.314389268733,-34.7376674306678,13930
"90","2038",151.171475891521,-33.8807163683225,"Sydney",151.1851798,-33.92001097,4539.15710595051,-16.1399937991463,90,150.814389268733,-33.5252318653696,15526
"91","3003",144.925135174938,-37.8093844696407,"Melbourne",144.9750162,-37.82003131,4548.38533496478,-74.8653107234476,91,144.414389268733,-37.6821538035349,10238
"92","2037",151.185250298407,-33.8788156496602,"Sydney",151.1851798,-33.92001097,4569.42930727998,0.0813647611749212,92,150.914389268733,-33.3520267846127,15745
"93","2203",151.139538477409,-33.9040714885345,"Sydney",151.1851798,-33.92001097,4576.25186032623,-67.1651062647119,93,150.814389268733,-33.8716420268834,15088
"94","2007",151.19791090886,-33.8801433002203,"Sydney",151.1851798,-33.92001097,4576.25476771554,14.841409302995,94,151.514389268733,-33.3520267846127,15748
"95","6009",115.805655765226,-31.9850823819611,"Perth",115.8399987,-31.95501463,4653.42559833558,-135.894551723872,95,115.614389268733,-32.1395912193145,17102
"96","4170",153.079894475671,-27.4704855774003,"Brisbane",153.0350927,-27.45503091,4748.06520793071,111.234075434663,96,153.114389268733,-27.4630540388785,23202
"97","3182",144.980276828552,-37.862869129964,"Melbourne",144.9750162,-37.82003131,4777.2297598511,174.459208167352,97,145.014389268733,-38.3749741265625,9365
"98","4011",153.061731861934,-27.4188331713171,"Brisbane",153.0350927,-27.45503091,4798.51367613327,33.1446443640793,98,153.314389268733,-27.1166438773648,23641
"99","3207",144.922234756426,-37.8331354416883,"Melbourne",144.9750162,-37.82003131,4869.14596793342,-107.432754183716,99,144.614389268733,-38.0285639650487,9801
"100","2021",151.228214800338,-33.8931523903699,"Sydney",151.1851798,-33.92001097,4971.62427366228,53.0453141087539,100,151.614389268733,-33.8716420268834,15092
"101","5081",138.616086141689,-34.892093755421,"Adelaide",138.6000048,-34.93498777,4980.39054643395,17.0844713751948,101,138.814389268733,-34.5644623499109,14152
"102","2010",151.214939630947,-33.8825577071777,"Sydney",151.1851798,-33.92001097,4983.48633938438,33.3967941825081,102,151.614389268733,-33.5252318653696,15530
"103","2603",149.126201390328,-35.328172970216,"Canberra",149.1290262,-35.28302855,5015.20342132029,-177.075946792825,103,149.114389268733,-35.4304877536954,13108
"104","3122",145.031951076572,-37.824673107048,"Melbourne",144.9750162,-37.82003131,5039.19404908944,95.8752455166202,104,144.714389268733,-38.2017690458056,9582
"105","2216",151.147290364666,-33.9530813160806,"Sydney",151.1851798,-33.92001097,5072.17565411837,-136.44148755667,105,151.014389268733,-34.2180521883972,14651
"106","5064",138.646007559377,-34.9611390469379,"Adelaide",138.6000048,-34.93498777,5106.404223495,124.729529581127,106,138.614389268733,-35.2572826729385,13275
"107","5068",138.653273555315,-34.920660623418,"Adelaide",138.6000048,-34.93498777,5120.0504216014,71.8226735902766,107,139.014389268733,-34.9108725114247,13715
"108","4072",153.013176640993,-27.4977360098311,"Brisbane",153.0350927,-27.45503091,5204.38178939272,-155.514814406735,108,152.714389268733,-27.8094642003923,22762
"109","4060",152.983894208511,-27.4431873648,"Brisbane",153.0350927,-27.45503091,5228.75696390959,-75.3779043926514,109,152.614389268733,-27.2898489581217,23419
"110","7004",147.289476363404,-42.8972534665334,"Hobart",147.2950297,-42.85000853,5268.04959433921,-175.074663534781,110,147.314389268733,-43.0515113069984,3463
"111","4031",153.029870071105,-27.4071042766787,"Brisbane",153.0350927,-27.45503091,5335.83085779845,-5.52321652961997,111,152.914389268733,-27.1166438773648,23639
"112","2130",151.137128332909,-33.8928084989732,"Sydney",151.1851798,-33.92001097,5371.62132868189,-55.6885913487444,112,150.614389268733,-33.8716420268834,15087
"113","2040",151.157538175359,-33.8772714734851,"Sydney",151.1851798,-33.92001097,5386.18812291497,-28.2199162812333,113,150.614389268733,-33.5252318653696,15525
"114","6100",115.895874354679,-31.9650315655558,"Perth",115.8399987,-31.95501463,5397.69546438494,101.91639175316,114,115.914389268733,-32.3127963000714,16884
"115","4051",152.989702411806,-27.4279063884858,"Brisbane",153.0350927,-27.45503091,5401.09442570175,-56.0352692107822,115,152.714389268733,-27.1166438773648,23638
"116","2035",151.237120335399,-33.9424100092169,"Sydney",151.1851798,-33.92001097,5407.02623854356,117.448819681298,116,151.114389268733,-34.391257269154,14432
"117","7015",147.359329209336,-42.837816635623,"Hobart",147.2950297,-42.85000853,5428.00520675413,75.47885118659,117,147.414389268733,-42.8783062262415,3683
"118","3101",145.033266297927,-37.8034789811335,"Melbourne",144.9750162,-37.82003131,5448.41254895336,70.1993768504836,118,145.114389268733,-37.8553588842918,10022
"119","2031",151.243834639348,-33.9149800668896,"Sydney",151.1851798,-33.92001097,5452.69727275622,84.0825769865484,119,151.514389268733,-34.0448471076403,14872
"120","2206",151.125995167789,-33.9248086841218,"Sydney",151.1851798,-33.92001097,5498.55840821272,-95.5630690070962,120,150.714389268733,-34.0448471076403,14868
"121","4151",153.061396090807,-27.4989647644737,"Brisbane",153.0350927,-27.45503091,5518.9870513973,152.018111526966,121,153.314389268733,-27.8094642003923,22765
"122","6017",115.812704287479,-31.9108327302753,"Perth",115.8399987,-31.95501463,5537.45307489715,-27.6601151815248,122,115.514389268733,-31.6199759770438,17758
"123","5039",138.573836577039,-34.9800381841215,"Adelaide",138.6000048,-34.93498777,5539.99618677556,-154.535067467379,123,138.414389268733,-35.2572826729385,13274
"124","5041",138.593078349858,-34.9851214512847,"Adelaide",138.6000048,-34.93498777,5597.7040161778,-173.537988069318,124,138.514389268733,-35.4304877536954,13055
"125","5082",138.592480813691,-34.8844738860627,"Adelaide",138.6000048,-34.93498777,5646.00278075935,-6.96181383185164,125,138.414389268733,-34.5644623499109,14150
"126","4065",152.978036835266,-27.4600405934844,"Brisbane",153.0350927,-27.45503091,5667.24805008697,-95.6378400448064,126,152.514389268733,-27.4630540388785,23199
"127","3031",144.92283902735,-37.7900457897327,"Melbourne",144.9750162,-37.82003131,5673.67630168253,-53.9534320109337,127,144.614389268733,-37.3357436420211,10677
"128","3057",144.977437792247,-37.7688810643366,"Melbourne",144.9750162,-37.82003131,5681.3234805862,2.14174572597745,128,144.914389268733,-37.1625385612643,10897
"129","3143",145.020420194565,-37.8566356304303,"Melbourne",144.9750162,-37.82003131,5699.15479397457,135.576510233564,129,145.414389268733,-38.0285639650487,9805
"130","3070",145.000466222296,-37.7725251416663,"Melbourne",144.9750162,-37.82003131,5729.51753397646,22.9362830372106,130,145.414389268733,-37.3357436420211,10681
"131","2009",151.193590749699,-33.8687509346701,"Sydney",151.1851798,-33.92001097,5738.78960376881,7.75365452061865,131,151.214389268733,-33.1788217038558,15966
"132","3183",145.000347304701,-37.867701133915,"Melbourne",144.9750162,-37.82003131,5741.64453965032,157.227928940665,132,145.214389268733,-38.3749741265625,9366
"133","5038",138.552767153567,-34.9691734094365,"Adelaide",138.6000048,-34.93498777,5744.62359847328,-131.429408296888,133,138.114389268733,-35.0840775921816,13491
"134","5070",138.642270412329,-34.8966132169357,"Adelaide",138.6000048,-34.93498777,5748.185819505,42.0743254718843,134,139.114389268733,-34.7376674306678,13934
"135","5032",138.537919266861,-34.9254682829628,"Adelaide",138.6000048,-34.93498777,5769.97371023397,-79.3891242708427,135,138.114389268733,-34.7376674306678,13929
"136","5062",138.630377694508,-34.9817464108618,"Adelaide",138.6000048,-34.93498777,5882.59151821255,151.962015866675,136,138.814389268733,-35.2572826729385,13276
"137","3078",145.022509286661,-37.7826427632078,"Melbourne",144.9750162,-37.82003131,5892.04728211592,45.0907423219913,137,145.514389268733,-37.508948722778,10462
"138","6060",115.845741868319,-31.901884056402,"Perth",115.8399987,-31.95501463,5916.41518337234,5.24021079926431,138,115.814389268733,-31.446770896287,17979
"139","4120",153.047792321105,-27.5072893594218,"Brisbane",153.0350927,-27.45503091,5925.29114653447,167.83064124767,139,153.014389268733,-27.9826692811492,22545
"140","4009",153.08956600252,-27.4321700602907,"Brisbane",153.0350927,-27.45503091,5951.43845513492,64.678586347544,140,153.314389268733,-27.4630540388785,23203
"141","6051",115.900029876128,-31.9368551728486,"Perth",115.8399987,-31.95501463,6022.48640188352,70.3633784374512,141,116.214389268733,-32.1395912193145,17105
"142","3056",144.961283079693,-37.7663584139405,"Melbourne",144.9750162,-37.82003131,6078.87425228836,-11.4265007331646,142,145.114389268733,-37.1625385612643,10898
"143","2000",151.208032279372,-33.8685334162154,"Sydney",151.1851798,-33.92001097,6088.65191533422,20.2221124584183,143,151.414389268733,-33.1788217038558,15967
"144","4067",152.999003581431,-27.499725789726,"Brisbane",153.0350927,-27.45503091,6103.37930460099,-144.37504349261,144,152.814389268733,-27.9826692811492,22544
"145","5008",138.568426632274,-34.8865085299608,"Adelaide",138.6000048,-34.93498777,6103.58518975116,-28.1001613578764,145,138.214389268733,-34.5644623499109,14149
"146","2604",149.149153882992,-35.3356621253234,"Canberra",149.1290262,-35.28302855,6119.69345292697,162.662901896346,146,149.214389268733,-35.6036928344523,12890
"147","2193",151.1203918869,-33.9087301714472,"Sydney",151.1851798,-33.92001097,6120.70492995891,-78.132352836084,147,150.514389268733,-34.0448471076403,14867
"148","6010",115.777443413302,-31.9700090409392,"Perth",115.8399987,-31.95501463,6142.77052690583,-105.760119302797,148,115.414389268733,-32.1395912193145,17101
"149","4103",153.02982719859,-27.5105956936168,"Brisbane",153.0350927,-27.45503091,6179.17085503323,-175.193275458887,149,153.214389268733,-27.9826692811492,22546
"150","2039",151.173248204403,-33.8650733096694,"Sydney",151.1851798,-33.92001097,6192.87411035368,-10.2162623924209,150,150.714389268733,-33.3520267846127,15744
"151","2045",151.14000982363,-33.8779802193141,"Sydney",151.1851798,-33.92001097,6260.23093596764,-41.7208589531325,151,150.514389268733,-33.6984369461265,15305
"152","6052",115.884961269496,-31.9135206704755,"Perth",115.8399987,-31.95501463,6264.74791718997,42.5896665332164,152,116.114389268733,-31.6199759770438,17761
"153","0815",130.868953465164,-12.3716766410183,"Darwin",130.8500386,-12.42535398,6284.2288026888,18.9895146203513,153,130.914389268733,-12.2210069322724,42363
"154","5066",138.6686659897,-34.9430508247351,"Adelaide",138.6000048,-34.93498777,6336.0835726281,98.1326060295505,154,139.014389268733,-35.2572826729385,13277
"155","5083",138.611013737962,-34.8783383962638,"Adelaide",138.6000048,-34.93498777,6364.66739539824,9.05198571351067,155,138.514389268733,-34.391257269154,14369
"156","2605",149.089908258779,-35.3310492154278,"Canberra",149.1290262,-35.28302855,6406.357310654,-146.373804191932,156,149.014389268733,-35.6036928344523,12889
"157","2034",151.254430218533,-33.924292608155,"Sydney",151.1851798,-33.92001097,6421.12549502669,94.2419239624616,157,151.614389268733,-34.2180521883972,14654
"158","5025",138.535848675887,-34.9111790383987,"Adelaide",138.6000048,-34.93498777,6429.76732466179,-65.6295649960831,158,138.014389268733,-34.9108725114247,13710
"159","5950",138.530798024356,-34.9461222682699,"Adelaide",138.6000048,-34.93498777,6441.89014050301,-101.08418449106,159,138.014389268733,-35.2572826729385,13272
"160","2131",151.126167203021,-33.8887829895357,"Sydney",151.1851798,-33.92001097,6464.34800102335,-57.4626327548499,160,150.414389268733,-33.8716420268834,15086
"161","2022",151.249310953306,-33.8959087736021,"Sydney",151.1851798,-33.92001097,6505.82736059623,65.6192533811246,161,151.714389268733,-34.0448471076403,14873
"162","3144",145.035131006442,-37.8545753561338,"Melbourne",144.9750162,-37.82003131,6534.74693574646,126.021586518369,162,144.814389268733,-38.3749741265625,9364
"163","6152",115.87105844188,-32.0077159421029,"Perth",115.8399987,-31.95501463,6539.75166760057,153.431200945726,163,116.114389268733,-32.3127963000714,16885
"164","2025",151.244145167075,-33.8869999643583,"Sydney",151.1851798,-33.92001097,6568.8646783548,55.9830897378904,164,151.714389268733,-33.6984369461265,15311
"165","4012",153.054549258309,-27.3981987303864,"Brisbane",153.0350927,-27.45503091,6584.9076704412,16.8980434903485,165,153.014389268733,-26.9434387966079,23859
